FacilityLatitude,FacilityLongitude,FacilityName,AddressStateCode,count,Type,flipID,countyName,fipID
44.2,-103.66944444399999,ROUBAIX LAKE,SD,31,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;RV NONELECTRIC,46081,Lawrence,46081
34.1430555556,-89.7638888889,WATER VALLEY LANDING,MS,26,STANDARD ELECTRIC,28161,Yalobusha,28161
39.4457055556,-81.1512,LEITH RUN,OH,21,STANDARD ELECTRIC;TENT ONLY NONELECTRIC,39167,Washington,39167
37.6075,-86.4536111111,LAUREL BRANCH,KY,61,STANDARD ELECTRIC;STANDARD NONELECTRIC,21027,Breckinridge,21027
35.9516666667,-96.28027777780001,HEYBURN PARK,OK,46,STANDARD ELECTRIC;GROUP STANDARD ELECTRIC,40037,Creek,40037
39.5391666667,-91.73305555559999,INDIAN CREEK (MO),MO,247,STANDARD ELECTRIC;TENT ONLY NONELECTRIC;STANDARD NONELECTRIC,29137,Monroe,29137
41.3608333333,-106.17166666700001,NORTH FORK (WY),WY,29,STANDARD NONELECTRIC;RV NONELECTRIC,56001,Albany,56001
47.244722222200004,-94.2308333333,LEECH LAKE REC AREA,MN,77,STANDARD ELECTRIC;WALK TO,27021,Cass,27021
38.199722222199995,-93.51,BERRY BEND EQUESTRIAN,MO,84,STANDARD NONELECTRIC;STANDARD ELECTRIC,29015,Benton,29015
34.9611111111,-93.2386111111,CARTER COVE,AR,34,STANDARD ELECTRIC,05149,Yell,05149
34.6280555556,-82.86555555560001,TWIN LAKES (SC),SC,100,STANDARD ELECTRIC;RV ELECTRIC,45073,Oconee,45073
38.6763888889,-95.5680555556,WOLF CREEK (KS),KS,67,STANDARD ELECTRIC;STANDARD NONELECTRIC;GROUP STANDARD ELECTRIC,20139,Osage,20139
36.9041666667,-86.0708333333,THE NARROWS,KY,90,STANDARD ELECTRIC,21009,Barren,21009
36.3861111111,-92.2375,BIDWELL POINT PARK,AR,48,STANDARD ELECTRIC,05005,Baxter,05005
39.3083333333,-106.633055556,CHAPMAN CAMPGROUND AND GROUP,CO,84,RV NONELECTRIC;STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;GROUP STANDARD NONELECTRIC,08097,Pitkin,08097
34.3233333333,-110.82666666700001,CANYON POINT,AZ,103,STANDARD NONELECTRIC;STANDARD ELECTRIC;GROUP STANDARD NONELECTRIC;GROUP STANDARD ELECTRIC,04005,Coconino,04005
34.298888888899995,-111.114166667,PONDEROSA (AZ),AZ,48,STANDARD NONELECTRIC;GROUP STANDARD AREA NONELECTRIC,04007,Gila,04007
40.965,-109.551666667,ANTELOPE FLAT,UT,50,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;GROUP STANDARD NONELECTRIC,49009,Daggett,49009
40.5341666667,-110.87277777799999,HADES,UT,14,STANDARD NONELECTRIC,49013,Duchesne,49013
35.4816666667,-82.63,LAKE POWHATAN,NC,85,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;RV ELECTRIC;STANDARD ELECTRIC,37021,Buncombe,37021
39.3163888889,-105.26666666700001,KELSEY CAMPGROUND,CO,17,TENT ONLY NONELECTRIC;STANDARD NONELECTRIC,08059,Jefferson,08059
37.9811111111,-105.065555556,ST CHARLES CAMPGROUND - LAKE ISABEL,CO,15,STANDARD NONELECTRIC;RV NONELECTRIC;TENT ONLY NONELECTRIC,08027,Custer,08027
31.231111111100002,-97.47222222219999,WHITE FLINT PARK,TX,25,OVERNIGHT SHELTER ELECTRIC;STANDARD ELECTRIC,48027,Bell,48027
40.8372222222,-110.83361111100001,STILLWATER (UT),UT,22,STANDARD NONELECTRIC;RV NONELECTRIC;GROUP STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,49043,Summit,49043
42.2644444444,-110.798888889,KELLEY GUARD STATION,WY,1,CABIN NONELECTRIC,56023,Lincoln,56023
40.5983333333,-111.11472222200001,PINE VALLEY NORTH WASATCH CACH,UT,3,GROUP STANDARD NONELECTRIC,49043,Summit,49043
41.11,-107.17,SANDSTONE CABIN,WY,1,CABIN NONELECTRIC,56007,Carbon,56007
44.3016666667,-106.94916666700001,MIDDLE FORK,WY,9,STANDARD NONELECTRIC,56019,Johnson,56019
40.6625,-109.9125,PARADISE GUARD STATION,UT,1,CABIN NONELECTRIC,49047,Uintah,49047
35.299722222199996,-82.81638888890001,COVE CREEK UPPER GROUP CAMP,NC,1,GROUP STANDARD NONELECTRIC,37175,Transylvania,37175
32.9208333333,-105.741666667,BLACK BEAR GROUP AREA,NM,1,GROUP STANDARD AREA NONELECTRIC,35035,Otero,35035
37.5736111111,-112.908611111,DEER HAVEN,UT,1,GROUP TENT ONLY AREA NONELECTRIC,49021,Iron,49021
30.6816666667,-97.73305555559999,JIM HOGG PARK,TX,148,STANDARD ELECTRIC;OVERNIGHT SHELTER ELECTRIC,48491,Williamson,48491
39.4166666667,-105.84972222200001,LODGEPOLE (CO),CO,34,STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,08093,Park,08093
33.2869444444,-94.1658333333,ROCKY POINT(WRIGHT PATMAN DAM),TX,124,STANDARD ELECTRIC,48067,Cass,48067
36.4522222222,-95.5925,BLUE CREEK,OK,61,STANDARD ELECTRIC;STANDARD NONELECTRIC;TENT ONLY NONELECTRIC,40131,Rogers,40131
38.26,-93.60555555559999,BUCKSAW,MO,188,STANDARD ELECTRIC;STANDARD NONELECTRIC,29083,Henry/Rives,29083
33.1038888889,-97.0433333333,HICKORY CREEK,TX,134,STANDARD ELECTRIC;WALK TO,48121,Denton,48121
41.3641666667,-93.025,WHITEBREAST CAMP,IA,130,STANDARD ELECTRIC;GROUP STANDARD ELECTRIC,19125,Marion,19125
