FacilityLatitude,FacilityLongitude,FacilityName,count,type
35.6594444444,-83.5863888889,ELKMONT GROUP CAMP,4,GROUP TENT ONLY AREA NONELECTRIC
38.76005,-78.29786944439999,MATHEWS ARM CAMPGROUND,166,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
38.2487,-78.67057222220001,Loft Mountain Campground,204,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
36.7,-112.20972222200001,JACOB LAKE RECREATION AREA,54,"GROUP STANDARD NONELECTRIC,STANDARD NONELECTRIC"
39.1458333333,-106.89166666700001,SILVER BAR,4,TENT ONLY NONELECTRIC
35.8416666667,-105.65555555600001,JACKS CREEK GROUP AREA,2,GROUP STANDARD NONELECTRIC
48.067777777799996,-90.61472222219999,IRON LAKE,7,STANDARD NONELECTRIC
32.2544444444,-96.6669444444,MOTT,41,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC,GROUP STANDARD ELECTRIC"
35.39944444440001,-93.31444444440001,PINEY BAY,91,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
34.2027777778,-84.6766666667,UPPER STAMP CREEK CG,20,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
41.785,-78.9025,KIASUTHA,77,"STANDARD ELECTRIC,STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
36.1291666667,-98.5813888889,LONGDALE,35,STANDARD NONELECTRIC
33.8783333333,-96.6472222222,PRESTON BEND,38,"TENT ONLY NONELECTRIC,STANDARD ELECTRIC"
44.2675,-71.0227777778,BASIN CAMPGROUND,13,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC"
34.4552777778,-112.45333333299999,UPPER WOLF CREEK GROUP,1,GROUP STANDARD NONELECTRIC
39.605,-106.077777778,HEATON BAY,87,"STANDARD NONELECTRIC,RV ELECTRIC,TENT ONLY NONELECTRIC"
44.3341666667,-106.973611111,HUNTER TRAILHEAD,9,EQUESTRIAN NONELECTRIC
39.09,-106.365555556,WHITE STAR,49,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
32.3375,-86.76944444440002,PRAIRIE CREEK (AL),62,"STANDARD ELECTRIC,TENT ONLY ELECTRIC"
38.6166666667,-82.63305555560001,OAK HILL - LAKE VESUVIUS,32,"STANDARD ELECTRIC,RV ELECTRIC"
35.6472222222,-106.304444444,TETILLA PEAK,45,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
40.8816666667,-109.457777778,GREENDALE,10,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
37.6449333333,-96.0692666667,DAMSITE - FALL RIVER LAKE,32,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP STANDARD ELECTRIC"
44.7066666667,-107.498055556,OWEN CREEK,7,STANDARD NONELECTRIC
42.324722222199995,-113.623611111,THOMPSON FLAT,11,"GROUP STANDARD NONELECTRIC,STANDARD NONELECTRIC"
38.7583333333,-112.366666667,ADELAIDE CAMPGROUND,1,GROUP STANDARD NONELECTRIC
40.6833861111,-105.39664722200001,STOVE PRAIRIE,9,"WALK TO,STANDARD NONELECTRIC"
40.3097222222,-111.25972222200001,LODGEPOLE AT HEBER,23,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
38.2122222222,-107.43027777799999,RIVER HILL,18,STANDARD NONELECTRIC
40.5161111111,-110.03722222200001,UINTA RIVER GROUP,1,GROUP STANDARD NONELECTRIC
44.4261111111,-104.42305555600001,REUTER CAMPGROUND,13,STANDARD NONELECTRIC
33.0344444444,-105.8,ASPEN GROUP AREA,1,GROUP STANDARD AREA NONELECTRIC
36.3091666667,-115.6825,MCWILLIAMS,75,STANDARD NONELECTRIC
43.6125,-115.080277778,BAUMGARTNER CAMPGROUND,31,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC,GROUP RV AREA NONELECTRIC"
39.2533333333,-111.54027777799999,MANTI COMMUNITY,7,"GROUP STANDARD NONELECTRIC,STANDARD NONELECTRIC"
37.3508333333,-83.47277777779999,BUCKHORN CAMPGROUND,35,"TENT ONLY NONELECTRIC,STANDARD ELECTRIC,BOAT IN"
36.4747222222,-92.92194444440001,LEAD HILL,62,STANDARD ELECTRIC
39.0647222222,-105.092222222,SOUTH MEADOWS,64,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,RV NONELECTRIC"
39.9297222222,-111.64194444399999,PAYSON LAKES,65,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC,RV NONELECTRIC"
43.1913888889,-110.935555556,LITTLE COTTONWOOD GROUP,1,GROUP STANDARD NONELECTRIC
39.5008333333,-111.159444444,FORKS OF HUNTINGTON,1,GROUP STANDARD NONELECTRIC
33.0552777778,-96.4819444444,CLEAR LAKE (TX),24,"STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
34.6133333333,-84.6238888889,DOLL MT. CAMPGROUND,68,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC,TENT ONLY ELECTRIC"
31.8466666667,-99.57944444440001,LAKESIDE (TX),94,"STANDARD ELECTRIC,OVERNIGHT SHELTER ELECTRIC,GROUP STANDARD ELECTRIC"
37.520277777800004,-108.53055555600001,HOUSE CREEK,37,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
44.4325,-111.426111111,BUTTERMILK,21,"STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP STANDARD NONELECTRIC"
37.2158333333,-119.968611111,Codorniz Recreation Area Campground,88,"STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP STANDARD ELECTRIC,RV ELECTRIC,TENT ONLY NONELECTRIC,EQUESTRIAN NONELECTRIC,GROUP EQUESTRIAN"
33.8513888889,-96.5747222222,BURNS RUN EAST,47,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
37.2694444444,-95.4583333333,MOUND VALLEY,85,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
34.9416666667,-111.741666667,MANZANITA.,19,TENT ONLY NONELECTRIC
39.1416666667,-106.89166666700001,SILVER BELL,14,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,WALK TO"
35.2341666667,-107.701388889,COAL MINE,15,RV NONELECTRIC
38.9175,-79.7711111111,STUART RECREATION AREA,27,"STANDARD ELECTRIC,GROUP STANDARD NONELECTRIC"
37.5919444444,-112.90333333299999,CEDAR CANYON,19,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
44.3322222222,-116.173611111,EASTSIDE,1,GROUP STANDARD NONELECTRIC
37.7025,-112.656111111,PANGUITCH LAKE,51,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
48.1322222222,-92.2958333333,JEANETTE LAKE,4,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
43.3225,-111.11611111100001,BIG ELK,3,GROUP STANDARD NONELECTRIC
40.1977777778,-111.401388889,BALSAM,26,"TENT ONLY NONELECTRIC,WALK TO,STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
38.497602777800005,-95.71791111110001,COEUR DALENE,56,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
38.25,-95.75,DAM SITE,2,GROUP STANDARD ELECTRIC
46.315,-118.766111111,FISHHOOK PARK,52,"STANDARD ELECTRIC,WALK TO"
34.1763888889,-95.1083333333,LOST RAPIDS,31,"STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
37.3163888889,-86.23305555559998,MOUTARDIER,167,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
34.0355555556,-95.36861111110001,VIRGIL POINT,52,STANDARD ELECTRIC
43.8711111111,-85.92027777780001,GLEASONS LANDING ,6,"TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
37.9677777778,-105.06722222200001,PONDEROSA GROUP - LAKE ISABEL,1,GROUP STANDARD NONELECTRIC
40.6368361111,-105.526947222,JACKS GULCH,3,"EQUESTRIAN NONELECTRIC,GROUP STANDARD ELECTRIC"
40.0,-111.375,DIAMOND,68,"STANDARD NONELECTRIC,WALK TO,GROUP STANDARD AREA NONELECTRIC,RV NONELECTRIC,GROUP WALK TO,GROUP RV AREA NONELECTRIC"
39.7575,-106.560555556,PINEY GUARD STATION,1,CABIN NONELECTRIC
44.4566666667,-109.725833333,REX HALE,29,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
35.2111666667,-112.123833333,DOGTOWN LAKE CAMPGROUND AND GROUP,55,"GROUP STANDARD NONELECTRIC,STANDARD NONELECTRIC"
40.8769444444,-92.8872222222,PRAIRIE RIDGE (RATHBUN LAKE),55,"STANDARD ELECTRIC,GROUP STANDARD NONELECTRIC"
38.6818888889,-96.52486111110001,SANTA FE TRAIL,33,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP STANDARD ELECTRIC"
31.9653055556,-96.69029722219999,OAK (Navarro Mills Lake),49,"STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
38.6083333333,-82.6166666667,IRON RIDGE - LAKE VESUVIUS,32,"STANDARD ELECTRIC,TENT ONLY ELECTRIC,WALK TO,TENT ONLY NONELECTRIC,STANDARD NONELECTRIC"
34.8294444444,-92.4319444444,MAUMELLE,130,STANDARD ELECTRIC
36.0425,-95.3344444444,BLUE BILL POINT,42,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
38.675,-95.6791666667,CARBOLYN PARK,26,STANDARD ELECTRIC
37.5755555556,-93.68138888889999,CEDAR RIDGE (MO),57,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
43.908611111099994,-115.69638888899999,HAYFORK GROUP CG,1,GROUP STANDARD NONELECTRIC
32.9708333333,-85.2222222222,AMITY,96,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
36.6197222222,-87.8830555556,BUMPUS MILLS,15,STANDARD ELECTRIC
