FacilityID,FacilityLatitude,FacilityLongitude,FacilityName,count,type
231843,43.903055555600005,-103.535,WILLOW CREEK HORSE CAMP,8,GROUP STANDARD NONELECTRIC
231913,43.083055555600005,-109.965555556,New Fork Lake Group Campground,1,GROUP STANDARD NONELECTRIC
232210,43.1963888889,-111.041111111,ALPINE NORTH LOOP,19,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC,RV NONELECTRIC"
232391,37.8163888889,-91.16638888889999,RED BLUFF CAMPGROUND,24,"STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP STANDARD NONELECTRIC"
232151,47.3786111111,-94.52138888889999,NORWAY BEACH LOOP,29,STANDARD NONELECTRIC
232399,35.0772222222,-83.2463888889,VAN HOOK GLADE,8,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
232273,39.5958333333,-106.034444444,PROSPECTOR,107,STANDARD NONELECTRIC
233529,34.0025,-95.4016666667,KIAMICHI PARK,91,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
233531,34.2316666667,-93.69361111110001,KIRBY LANDING,105,STANDARD ELECTRIC
232717,34.449722222199995,-92.1125,TAR CAMP,47,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
232325,37.7083333333,-90.9416666667,COUNCIL BLUFF RECREATION AREA,41,"STANDARD NONELECTRIC,WALK TO,GROUP STANDARD NONELECTRIC"
233848,47.5183333333,-94.0480555556,MOSOMO POINT,23,STANDARD NONELECTRIC
232524,34.1733333333,-94.32,BIG COON CREEK,31,STANDARD ELECTRIC
233597,39.5158333333,-91.6630555556,RAY BEHRENS,165,STANDARD ELECTRIC
233758,45.9836111111,-90.9344444444,BLACK LAKE,29,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
233812,37.9811111111,-105.050277778,LAKE ISABEL CABIN,1,CABIN ELECTRIC
233859,39.4319444444,-105.761944444,TIMBERLINE CAMPGROUND,25,STANDARD NONELECTRIC
233945,41.27,-107.11166666700001,JACK CREEK GUARD STATION,1,CABIN NONELECTRIC
233969,42.3502777778,-112.275833333,MALAD SUMMIT CAMPGROUND,6,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
231840,43.8951027778,-103.48423333299999,HORSETHIEF LAKE CAMPGROUND,22,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,WALK TO"
232541,36.9955555556,-88.2097222222,CANAL,115,"STANDARD ELECTRIC,GROUP STANDARD ELECTRIC,TENT ONLY ELECTRIC"
233600,48.1611111111,-116.770277778,RILEY CREEK,67,STANDARD ELECTRIC
232649,35.563888888899996,-92.19805555559999,NARROWS (AR),59,STANDARD ELECTRIC
232029,40.8005555556,-110.82416666700001,CHRISTMAS MEADOWS CAMPGROUND,11,STANDARD NONELECTRIC
232108,41.92,-111.46027777799999,SUNRISE CAMPGROUND,27,STANDARD NONELECTRIC
232115,41.8902777778,-111.637222222,TONY GROVE CAMPGROUND,37,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
232428,48.1602777778,-90.8936111111,TRAILS END CAMPGROUND,33,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
232522,34.1444444444,-94.39638888889999,BELLAH MINE,24,STANDARD ELECTRIC
233557,39.5188888889,-91.6458333333,JOHN C. BRISCOE GROUP USE,26,"STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
233541,39.4522222222,-88.7402777778,LONE POINT,80,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC,GROUP STANDARD ELECTRIC"
233941,40.1425,-105.95305555600001,WILLOW CREEK GROUP,1,GROUP TENT ONLY AREA NONELECTRIC
231851,37.0647222222,-106.23444444399999,MOGOTE,42,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
231862,40.18165,-105.891125,STILLWATER (COLORADO),106,"STANDARD NONELECTRIC,STANDARD ELECTRIC,WALK TO,TENT ONLY NONELECTRIC"
233618,41.8136111111,-91.5952777778,SANDY BEACH CAMP,58,"STANDARD ELECTRIC,WALK TO"
233622,36.7667166667,-96.80815,SARGE CREEK,52,"STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
231993,35.2808333333,-82.7225,DAVIDSON RIVER,133,"STANDARD NONELECTRIC,STANDARD ELECTRIC"
233573,41.4843055556,-79.44909722220001,TIONESTA REC. AREA CAMPGROUND,125,"STANDARD ELECTRIC,GROUP STANDARD ELECTRIC"
233646,38.137777777800004,-93.6172222222,TALLEY BEND,48,"STANDARD ELECTRIC,STANDARD NONELECTRIC"
233910,35.439166666700004,-80.07055555560001,ARROWHEAD CAMPGROUND,49,"STANDARD NONELECTRIC,STANDARD ELECTRIC,TENT ONLY ELECTRIC,TENT ONLY NONELECTRIC"
234617,46.4725,-84.6391666667,MONOCLE LAKE,42,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
234237,44.1975,-71.1722222222,BLACK MOUNTAIN CABIN,1,CABIN NONELECTRIC
231916,37.9416666667,-111.69361111100001,POSEY LAKE CAMPGROUND,20,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
231940,40.6794444444,-110.934722222,LOST CREEK CAMPGROUND,35,"STANDARD NONELECTRIC,RV NONELECTRIC"
233672,37.8755555556,-93.37444444440001,WHEATLAND PARK,82,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC,STANDARD NONELECTRIC"
233665,36.1105555556,-81.3094444444,WARRIOR CREEK,63,"GROUP STANDARD ELECTRIC,STANDARD ELECTRIC,TENT ONLY ELECTRIC"
233674,38.3644444444,-93.545,WINDSOR CROSSING,46,STANDARD NONELECTRIC
232016,44.335277777799995,-116.185,ANTELOPE,14,"STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232255,33.2716666667,-89.1436111111,CHOCTAW LAKE,21,STANDARD ELECTRIC
232431,44.2980083333,-115.25551666700001,BULL TROUT,38,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
233793,39.884166666700004,-110.77527777799999,AVINTAQUIN CAMPGROUND,14,"STANDARD NONELECTRIC,GROUP STANDARD NONELECTRIC"
233797,39.5125,-111.15555555600001,BIG ROCK GROUP,1,GROUP STANDARD NONELECTRIC
233808,39.34,-105.931666667,ROBERTS CABIN,1,CABIN NONELECTRIC
233983,37.0019444444,-91.0186111111,WATERCRESS,17,STANDARD NONELECTRIC
234128,33.0375,-79.5627777778,BUCK HALL RECREATION AREA,19,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
234191,42.1669444444,-114.262222222,PORCUPINE SPRINGS,7,"GROUP STANDARD NONELECTRIC,STANDARD NONELECTRIC"
234221,44.689166666700004,-107.446666667,DEAD SWEDE,20,STANDARD NONELECTRIC
233709,39.0338888889,-105.989166667,BUFFALO SPRINGS,18,STANDARD NONELECTRIC
233814,33.9880555556,-91.3091666667,NOTREBES BEND PARK,30,STANDARD ELECTRIC
234033,28.979444444400002,-81.555,CLEARWATER LAKE REC AREA,42,"STANDARD NONELECTRIC,RV NONELECTRIC"
231997,47.5141666667,-94.1058333333,DEER LAKE,28,STANDARD NONELECTRIC
231852,40.6820333333,-105.469108333,MOUNTAIN PARK,31,"STANDARD ELECTRIC,GROUP STANDARD AREA NONELECTRIC"
232003,41.839722222199995,-79.2563888889,BUCKALOONS,17,"STANDARD ELECTRIC,GROUP STANDARD NONELECTRIC"
232665,34.1208333333,-84.5791666667,PAYNE CAMPGROUND-ALLATOONA LAKE,57,"STANDARD ELECTRIC,TENT ONLY NONELECTRIC,RV ELECTRIC"
232750,31.973736111100003,-96.69258888889999,WOLF CREEK (Navarro Mills Lake),73,"STANDARD ELECTRIC,STANDARD NONELECTRIC,GROUP STANDARD ELECTRIC"
232079,38.1791666667,-119.325,PAHA,21,"STANDARD NONELECTRIC,YURT"
232089,40.6141666667,-111.588611111,REDMAN CAMPGROUND,40,"STANDARD NONELECTRIC,GROUP STANDARD AREA NONELECTRIC,GROUP STANDARD NONELECTRIC"
234257,39.349702777800005,-112.26681944399999,OAK CREEK,4,GROUP STANDARD NONELECTRIC
234454,44.159444444399995,-106.9125,MUDDY GUARD CABIN,1,CABIN ELECTRIC
234519,42.6411111111,-110.816944444,COTTONWOOD GROUP CAMPSITE,1,GROUP STANDARD NONELECTRIC
231837,43.7819444444,-103.51583333299999,BISMARCK LAKE,21,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
231870,38.4277777778,-106.14305555600001,OHAVER LAKE,32,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
