"CountyName";"StateName";"CrimeRate";"fips"
"Clinton County";"Clinton County";460.5535;"19045.0"
"Cloud County";"Cloud County";484.2876;"20029.0"
"Coahoma County";"Coahoma County";95.3062;"28027.0"
"Coal County";"Coal County";136.3559;"40029.0"
"Cobb County";"Cobb County";264.2257;"13067.0"
"Cochise County";"Cochise County";590.8568;"4003.0"
"Cochran County";"Cochran County";198.939;"48079.0"
"Cocke County";"Cocke County";625.7223;"47029.0"
"Coconino County";"Coconino County";334.7029;"4005.0"
"Codington County";"Codington County";247.7291;"46029.0"
"Coffee County";"Coffee County";459.1712;"47031.0"
"Coffey County";"Coffey County";202.0922;"20031.0"
"Coke County";"Coke County";0.0;"48081.0"
"Colbert County";"Colbert County";482.3918;"1033.0"
"Cole County";"Cole County";415.9116;"29051.0"
"Coleman County";"Coleman County";175.5823;"48083.0"
"Coles County";"Coles County";273.7583;"17029.0"
"Colfax County";"Colfax County";145.1046;"35007.0"
"Colleton County";"Colleton County";762.1467;"45029.0"
"Collier County";"Collier County";244.0805;"12021.0"
"Collin County";"Collin County";147.6407;"48085.0"
"Collingsworth County";"Collingsworth County";0.0;"48087.0"
"Colonial Heights city";"Colonial Heights city";232.5054;"51570.0"
"Colorado County";"Colorado County";293.9476;"48089.0"
"Colquitt County";"Colquitt County";386.8179;"13071.0"
"Columbia County";"Columbia County";654.3979;"12023.0"
"Columbiana County";"Columbiana County";36.8296;"39029.0"
"Columbus County";"Columbus County";370.3316;"37047.0"
"Colusa County";"Colusa County";215.376;"6011.0"
"Comal County";"Comal County";268.3997;"48091.0"
"Comanche County";"Comanche County";766.7865;"40031.0"
"Concho County";"Concho County";148.4047;"48095.0"
"Concordia Parish";"Concordia Parish";577.2429;"22029.0"
"Conecuh County";"Conecuh County";644.0599;"1035.0"
"Conejos County";"Conejos County";36.245;"8021.0"
"Contra Costa County";"Contra Costa County";400.6562;"6013.0"
"Converse County";"Converse County";237.5463;"56009.0"
"Conway County";"Conway County";268.2984;"5029.0"
