"PlaceId";"Name";"Type";"Capacity";"fips"
2720;"BOOT LAKE CAMPGROUND";"STANDARD NONELECTRIC";33;"55083.0"
2721;"Oregon Inlet Campground";"TENT ONLY NONELECTRIC;RV NONELECTRIC;GROUP STANDARD NONELECTRIC";107;"37055.0"
2722;"COTTONSHED PARK (AR)";"STANDARD ELECTRIC";44;""
2723;"Bear Creek Horse Camp";"EQUESTRIAN ELECTRIC";22;"21147.0"
2724;"TYEE CAMPGROUND (UMPQUA RIVER)";"STANDARD NONELECTRIC";15;"41019.0"
2725;"Axolotl Cabin";"CABIN ELECTRIC";1;"30057.0"
2726;"COLUMBINE CAMPGROUND (NM)";"STANDARD NONELECTRIC";27;"35055.0"
2727;"Whispering Pines Horse Camp";"EQUESTRIAN NONELECTRIC";9;"41039.0"
2728;"WHISPERING FALLS CAMPGROUND";"STANDARD NONELECTRIC";15;"41047.0"
2729;"WEST SOUTH TWIN CAMPGROUND";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC";23;"41017.0"
2730;"LAVA LAKE CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";43;"41017.0"
2731;"GRAHAM CORRAL HORSE CAMPGROUND";"EQUESTRIAN NONELECTRIC";13;"41039.0"
2732;"PARKSVILLE LAKE RV CAMPGROUND";"STANDARD ELECTRIC";16;"47139.0"
2733;"ROCK CREEK CAMPGROUND";"STANDARD NONELECTRIC";32;"41017.0"
2734;"FALLS CREEK CAMPGROUND (QUINAULT LAKE)";"WALK TO;TENT ONLY NONELECTRIC";26;"53027.0"
2735;"EAGLE ROCK CAMPGROUND";"STANDARD NONELECTRIC";27;"41019.0"
2736;"HORSESHOE BEND CAMPGROUND (OR)";"STANDARD NONELECTRIC";25;"41019.0"
2737;"KANER FLAT CAMPGROUND";"STANDARD NONELECTRIC";44;""
2738;"CURTIS CREEK CAMPGROUND (NC)";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC";24;"37111.0"
2739;"TOKETEE GROUP SITE";"GROUP STANDARD NONELECTRIC";1;"41019.0"
2740;"WYANDOTTE A CAMPGROUND";"STANDARD NONELECTRIC";12;"6063.0"
2741;"NORTH ARM (TIMOTHY LAKE) CAMPGROUND";"STANDARD NONELECTRIC";19;"41005.0"
2742;"LOST LAKE RESORT AND CAMPGROUND";"RV NONELECTRIC;TENT ONLY NONELECTRIC;EQUESTRIAN NONELECTRIC;GROUP STANDARD AREA NONELECTRIC";84;"41027.0"
2743;"CLEAR CREEK CAMPGROUND (NM)";"STANDARD NONELECTRIC;GROUP STANDARD AREA NONELECTRIC";13;"35043.0"
2744;"ELEPHANT ROCK CAMPGROUND";"STANDARD NONELECTRIC";21;"35055.0"
2745;"RIO DE LAS VACAS CAMPGROUND";"STANDARD NONELECTRIC";15;"35043.0"
2746;"BOGUS CREEK CAMPGROUND";"STANDARD NONELECTRIC";14;"41019.0"
2747;"LITTLE BEAVER A CAMPGROUND ";"STANDARD NONELECTRIC";119;"6063.0"
2748;"TEN MILE CAMPGROUND (CA)";"RV NONELECTRIC;TENT ONLY NONELECTRIC";11;"6019.0"
2749;"AUK VILLAGE CAMPGROUND";"STANDARD NONELECTRIC";11;"2110.0"
2750;"QUINN RIVER CAMPGROUND";"STANDARD NONELECTRIC";40;"41017.0"
2751;"Frisco Campground";"STANDARD NONELECTRIC";117;"37055.0"
2752;"EAST LAKE CAMPGROUND";"STANDARD NONELECTRIC";28;"41039.0"
2753;"BEARDS BLUFF PARK (AR)";"STANDARD ELECTRIC;STANDARD NONELECTRIC";23;"5057.0"
2754;"SOUTH CAMPGROUND";"STANDARD NONELECTRIC";23;"41017.0"
2755;"Susan Creek Campground";"STANDARD NONELECTRIC";29;"41019.0"
2756;"Henneberry House";"CABIN ELECTRIC";1;"30001.0"
2757;"PELICAN POINT LANDING AND CAMPGROUND";"RV ELECTRIC;CABIN ELECTRIC";52;"38093.0"
2758;"MANISTIQUE - RAPID RIVER DISPERSED CAMPSITES";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";48;"26153.0"
2759;"SANTA ROSA ISLAND";"TENT ONLY NONELECTRIC";15;"6083.0"
2760;"Marsden Tract Group Campsite";"GROUP TENT ONLY AREA NONELECTRIC";4;"24031.0"
2761;"RUJADA CAMPGROUND";"STANDARD NONELECTRIC";8;"41039.0"
2762;"LOGGERS LAKE CAMPGROUND";"STANDARD NONELECTRIC;GROUP STANDARD NONELECTRIC";11;"29203.0"
2763;"BLACKSMITH FORK GUARD STATION";"CABIN NONELECTRIC";1;"49005.0"
2764;"HARPETH RIVER BRIDGE CAMPGROUND (TN)";"STANDARD ELECTRIC";14;"47021.0"
2765;"ISLAND LAKE";"STANDARD NONELECTRIC;GROUP STANDARD AREA NONELECTRIC";11;"26003.0"
2766;"SQUAW PEAK LOOKOUT";"LOOKOUT";1;"41029.0"
2767;"SOUTH TWIN LAKE CAMPGROUND";"STANDARD NONELECTRIC";21;"41039.0"
2768;"COLD SPRINGS CAMPGROUND (OR)";"STANDARD NONELECTRIC";22;"41017.0"
2769;"LITTLE CRATER CAMPGROUND";"STANDARD NONELECTRIC";48;"41017.0"
2770;"Pioneer Ford Campground";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";19;"41031.0"
2771;"RICHARDSON LAKE CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;WALK TO";26;"55041.0"
2772;"THIELSEN VIEW CAMPGROUND";"STANDARD NONELECTRIC";20;"41019.0"
2773;"Contorta Flat Campground";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";19;"41035.0"
2774;"Otter Creek Campground";"RV NONELECTRIC;TENT ONLY NONELECTRIC";69;"51009.0"
2775;"Canyonlands National Park Needles District Campground";"GROUP STANDARD NONELECTRIC;STANDARD NONELECTRIC";17;"49037.0"
2776;"MARKHAM SPRINGS";"STANDARD NONELECTRIC;RV ELECTRIC";51;"29223.0"
2777;"ALLEN SPRINGS CAMPGROUND";"WALK TO;STANDARD NONELECTRIC";16;"41031.0"
2778;"CHANNEL MARKER CAMPSITE ON GRAND ISLAND";"WALK TO";1;"26003.0"
2779;"RED FIR FLAT GROUP CAMPGROUND";"GROUP STANDARD AREA NONELECTRIC";1;"6093.0"
2780;"BRIDAL VEIL GROUP AREA AND PICNIC GROUND";"GROUP TENT ONLY AREA NONELECTRIC";1;"6017.0"
2781;"SANTIAM FLATS CAMPGROUND";"STANDARD NONELECTRIC";31;"41047.0"
